Image Name,Chi-Squared Distance
image_1011.jpg,1167.44
image_0992.jpg,1169.84
image_0619.jpg,1191.64
image_1353.jpg,1193.28
image_0158.jpg,1204.09
image_0175.jpg,1205.78
image_0978.jpg,1210.53
image_0007.jpg,1224.77
image_0737.jpg,1236.24
image_1199.jpg,1260.18
image_1200.jpg,1296.33
image_0901.jpg,1321.61
image_0905.jpg,1348.39
image_0720.jpg,1381.37
image_0407.jpg,1383.02
image_1053.jpg,1394.82
image_0154.jpg,1394.89
image_0770.jpg,1432.01
image_1263.jpg,1455.58
image_0738.jpg,1458.09
image_0874.jpg,1476.28
image_0179.jpg,1476.66
image_0172.jpg,1494.91
image_0040.jpg,1511.22
image_1231.jpg,1539.05
image_1165.jpg,1540.09
image_1146.jpg,1540.31
image_0021.jpg,1544.15
image_0127.jpg,1545.99
image_1164.jpg,1549.36
image_0897.jpg,1563.49
image_0228.jpg,1569.88
image_0490.jpg,1574.44
image_0384.jpg,1601.52
image_0001.jpg,1603.94
image_0760.jpg,1609.41
image_0137.jpg,1615.36
image_0073.jpg,1633.38
image_1339.jpg,1685.4
image_0134.jpg,1692.17
image_0887.jpg,1720.0
image_1234.jpg,1726.2
image_0227.jpg,1751.32
image_0963.jpg,1787.59
image_0754.jpg,1791.16
image_1056.jpg,1832.34
image_1155.jpg,1835.41
image_1248.jpg,1891.35
image_1226.jpg,1892.74
image_0864.jpg,1911.31
image_1197.jpg,1912.41
image_0164.jpg,1917.52
image_0845.jpg,1938.05
image_1236.jpg,1958.76
image_0199.jpg,1961.82
image_0244.jpg,1970.62
image_1201.jpg,1973.41
image_1249.jpg,2012.22
image_0105.jpg,2014.88
image_0528.jpg,2015.19
image_0233.jpg,2026.23
image_0777.jpg,2032.37
image_0756.jpg,2035.04
image_1145.jpg,2043.85
image_0214.jpg,2047.72
image_0571.jpg,2061.28
image_0246.jpg,2083.14
image_0734.jpg,2084.96
image_0352.jpg,2110.94
image_0189.jpg,2291.24
image_0676.jpg,2337.29
image_0695.jpg,2338.86
image_0531.jpg,2379.18
image_0782.jpg,2399.7
image_1140.jpg,2435.26
image_0432.jpg,2464.02
image_0345.jpg,2494.68
image_0035.jpg,2551.82
image_0996.jpg,2563.23
image_0900.jpg,2714.88
